user,platform,komentar,timestamp,sentimen,cleaned_komentar
bakiadipurwanti,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:58:17,negatif,jual es teh jd insecure
luis34,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:29:04,netral,netral aja sih gw liat
uuwais,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:59:14,negatif,ga sopan bgt ngomong gitu
tarihasanah,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:07:48,positif,ceramah tetep dapet relax aja guys
nwidodo,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:24:58,netral,netral aja sih gw liat
kacung95,Instagram,biasa aja sih,2024-12-23 15:16:00,netral,aja sih
wani10,Instagram,ga tau mau bilang apa,2024-12-23 15:50:37,netral,ga tau bilang
dabukkejumari,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:40:47,positif,biar keras niat
salahudindarijan,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:46:29,positif,ni gus emg aja laku
maras13,Instagram,hmm no comment deh,2024-12-23 15:40:28,netral,hmm no comment deh
malik00,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:37:52,negatif,ga lucu nyakitin hati yg jual
fujiatielon,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:52:08,negatif,ga lucu nyakitin hati yg jual
kayungunarto,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:28:29,negatif,sih udah lewat batas
humaira54,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:36:02,negatif,sih udah lewat batas
lsihotang,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:24:41,negatif,sih udah lewat batas
laksana85,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:59:01,netral,gue liat ya udah ya
hidayatlintang,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:57:27,negatif,jual es teh jd insecure
narpatisaka,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:10:47,positif,ceramah tetep dapet relax aja guys
wardayanababan,Instagram,ceramah apaan malah ngehina,2024-12-23 15:36:57,negatif,ceramah ngehina
yhalim,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:52:05,positif,jujurly lucu banget sih
hartanawahyudin,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:12:57,positif,gw tuju sih ama omong gus
kartika54,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:21:02,negatif,jual es teh jd insecure
twinarno,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:32:43,netral,gue liat ya udah ya
irawanpia,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:38:34,positif,bener sih kadang netizen baper
nadiazulkarnain,Instagram,ceramah apaan malah ngehina,2024-12-23 15:08:09,negatif,ceramah ngehina
ysirait,Instagram,ceramah apaan malah ngehina,2024-12-23 15:21:34,negatif,ceramah ngehina
estionomaryadi,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:15:59,negatif,ga lucu nyakitin hati yg jual
hardiansyahhafshah,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:39:09,positif,jujurly lucu banget sih
hmahendra,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:16:14,netral,gue liat ya udah ya
kania45,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:10:50,netral,netral aja sih gw liat
darman95,Instagram,ga tau mau bilang apa,2024-12-23 15:07:09,netral,ga tau bilang
gada81,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:29:00,negatif,ga sopan bgt ngomong gitu
nasim00,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:06:43,positif,ni gus emg aja laku
mhutasoit,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:04:16,netral,gue liat ya udah ya
alambanasamosir,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:18:08,positif,biar keras niat
hartatiraina,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:41:58,positif,jujurly lucu banget sih
galuhhardiansyah,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:15:51,negatif,sih udah lewat batas
adinata89,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:16:07,netral,netral aja sih gw liat
mangunsongelisa,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:26:35,netral,gue liat ya udah ya
martakahasanah,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:41:31,negatif,sih udah lewat batas
gjailani,Instagram,ga tau mau bilang apa,2024-12-23 15:45:48,netral,ga tau bilang
prayitnabudiyanto,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:29:05,negatif,sih udah lewat batas
plaksmiwati,Instagram,tergantung yg nonton juga sih,2024-12-23 15:02:49,netral,gantung yg nonton sih
bambang13,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:35:47,negatif,sih udah lewat batas
putralutfan,Instagram,tergantung yg nonton juga sih,2024-12-23 15:09:50,netral,gantung yg nonton sih
prastutiendra,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:29:49,positif,biar keras niat
eka83,Instagram,ceramah apaan malah ngehina,2024-12-23 15:46:22,negatif,ceramah ngehina
djanuar,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:13:05,negatif,ga sopan bgt ngomong gitu
prasetyarespati,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:03:25,netral,gue liat ya udah ya
januardaniswara,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:59:44,negatif,ga sopan bgt ngomong gitu
waskitadaliono,Instagram,tergantung yg nonton juga sih,2024-12-23 15:18:01,netral,gantung yg nonton sih
prakasafarah,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:20:46,netral,netral aja sih gw liat
dadi43,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:08:46,positif,bener sih kadang netizen baper
nugroholalita,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:50:13,positif,ni gus emg aja laku
haniwidodo,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:23:31,positif,gw tuju sih ama omong gus
sihombinggalur,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:45:28,netral,netral aja sih gw liat
ridwan21,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:54:09,positif,ceramah tetep dapet relax aja guys
zelda48,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:06:12,negatif,jual es teh jd insecure
permatatira,Instagram,tergantung yg nonton juga sih,2024-12-23 15:53:20,netral,gantung yg nonton sih
dinatampubolon,Instagram,tergantung yg nonton juga sih,2024-12-23 15:15:32,netral,gantung yg nonton sih
nasyiahjaya,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:02:48,positif,jujurly lucu banget sih
cawuk40,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:13:19,positif,biar keras niat
tania52,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:25:31,positif,bener sih kadang netizen baper
darsirahmardhiyah,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:35:12,negatif,ga lucu nyakitin hati yg jual
omaheswara,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:42:58,netral,gue liat ya udah ya
garan94,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:20:10,positif,biar keras niat
najibsitompul,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:57:15,negatif,ga sopan bgt ngomong gitu
fnuraini,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:37:23,positif,bener sih kadang netizen baper
carlanababan,Instagram,tergantung yg nonton juga sih,2024-12-23 15:57:45,netral,gantung yg nonton sih
zelayasuryatmi,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:03:49,positif,jujurly lucu banget sih
wibisonocawuk,Instagram,ceramah apaan malah ngehina,2024-12-23 15:07:57,negatif,ceramah ngehina
jagaragasuryatmi,Instagram,tergantung yg nonton juga sih,2024-12-23 15:58:02,netral,gantung yg nonton sih
hharyanti,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:22:36,negatif,jual es teh jd insecure
ldongoran,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:49:16,negatif,jual es teh jd insecure
najwaardianto,Instagram,hmm no comment deh,2024-12-23 15:57:11,netral,hmm no comment deh
jmandasari,Instagram,biasa aja sih,2024-12-23 15:25:31,netral,aja sih
tsinaga,Instagram,hmm no comment deh,2024-12-23 15:38:16,netral,hmm no comment deh
karyani,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:56:09,negatif,jual es teh jd insecure
wardimaryati,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:01:43,negatif,gus miftah maaf sih
wagepadmasari,Instagram,biasa aja sih,2024-12-23 15:49:50,netral,aja sih
danang88,Instagram,biasa aja sih,2024-12-23 15:47:03,netral,aja sih
ahutasoit,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:56:52,positif,gw tuju sih ama omong gus
titin54,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:38:53,positif,gw tuju sih ama omong gus
nhidayanto,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:51:48,netral,gue liat ya udah ya
fhalimah,Instagram,ga tau mau bilang apa,2024-12-23 15:15:11,netral,ga tau bilang
wartamandala,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:20:22,negatif,sih udah lewat batas
najam05,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:40:35,positif,ceramah tetep dapet relax aja guys
ina38,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:27:48,negatif,gus miftah maaf sih
narjihutasoit,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:41:13,negatif,jual es teh jd insecure
wawanpertiwi,Instagram,tergantung yg nonton juga sih,2024-12-23 15:48:09,netral,gantung yg nonton sih
cengkal66,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:05:16,positif,biar keras niat
ckusmawati,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:43:42,positif,ni gus emg aja laku
dmarbun,Instagram,ceramah apaan malah ngehina,2024-12-23 15:09:51,negatif,ceramah ngehina
fsantoso,Instagram,tergantung yg nonton juga sih,2024-12-23 15:24:58,netral,gantung yg nonton sih
laksanasiregar,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:55:09,negatif,ga sopan bgt ngomong gitu
gpuspasari,Instagram,tergantung yg nonton juga sih,2024-12-23 15:15:22,netral,gantung yg nonton sih
hutasoitluwar,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:12:43,positif,gw tuju sih ama omong gus
kasiyahutama,Instagram,tergantung yg nonton juga sih,2024-12-23 15:34:19,netral,gantung yg nonton sih
mustofa89,Instagram,tergantung yg nonton juga sih,2024-12-23 15:07:42,netral,gantung yg nonton sih
rafisuwarno,Instagram,ga tau mau bilang apa,2024-12-23 15:45:50,netral,ga tau bilang
banara06,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:38:37,netral,netral aja sih gw liat
luwes15,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:19:45,negatif,ga lucu nyakitin hati yg jual
ihsan22,Instagram,hmm no comment deh,2024-12-23 15:09:53,netral,hmm no comment deh
wisnuprasetya,Instagram,ga tau mau bilang apa,2024-12-23 15:21:34,netral,ga tau bilang
yahyaprasetyo,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:10:53,netral,gue liat ya udah ya
vanesa87,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:21:13,netral,gue liat ya udah ya
siregarrama,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:34:30,negatif,sih udah lewat batas
umayausamah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:27:27,netral,gue liat ya udah ya
tambasakti,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:02:20,positif,ni gus emg aja laku
faridacindy,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:59:19,negatif,jual es teh jd insecure
jindra41,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:07:59,negatif,ga sopan bgt ngomong gitu
auroraandriani,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:30:00,positif,gw tuju sih ama omong gus
sihotangsalsabila,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:07:53,positif,gw tuju sih ama omong gus
cirawan,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:18:50,positif,gw tuju sih ama omong gus
unggul15,Instagram,ceramah apaan malah ngehina,2024-12-23 15:44:38,negatif,ceramah ngehina
vero37,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:15:20,positif,ni gus emg aja laku
dabukkekarsa,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:17:18,positif,biar keras niat
setiawanlamar,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:07:55,negatif,sih udah lewat batas
satyabudiyanto,Instagram,biasa aja sih,2024-12-23 15:17:05,netral,aja sih
mursinin37,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:23:27,negatif,sih udah lewat batas
jaiman13,Instagram,biasa aja sih,2024-12-23 15:51:38,netral,aja sih
pranowocornelia,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:48:01,positif,jujurly lucu banget sih
upuspasari,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:11:29,negatif,ga lucu nyakitin hati yg jual
haryantinovi,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:58:40,negatif,gus miftah maaf sih
knuraini,Instagram,ceramah apaan malah ngehina,2024-12-23 15:40:01,negatif,ceramah ngehina
pertiwiputri,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:56:19,positif,ceramah tetep dapet relax aja guys
ana29,Instagram,ga tau mau bilang apa,2024-12-23 15:53:54,netral,ga tau bilang
humairapradipta,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:37:39,positif,ni gus emg aja laku
bakidin89,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:46:51,negatif,gus miftah maaf sih
maheswaraelvina,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:29:51,negatif,sih udah lewat batas
wadioktaviani,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:32:25,negatif,gus miftah maaf sih
dewi06,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:54:23,negatif,jual es teh jd insecure
kusmawatitirtayasa,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:45:10,netral,netral aja sih gw liat
wastutijuli,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:06:05,positif,biar keras niat
wyuliarti,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:39:19,netral,gue liat ya udah ya
kuntharamaryadi,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:53:53,negatif,ga lucu nyakitin hati yg jual
omar06,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:24:13,positif,ni gus emg aja laku
adikara94,Instagram,ceramah apaan malah ngehina,2024-12-23 15:10:17,negatif,ceramah ngehina
maryatiagnes,Instagram,hmm no comment deh,2024-12-23 15:22:26,netral,hmm no comment deh
hdongoran,Instagram,ga tau mau bilang apa,2024-12-23 15:18:19,netral,ga tau bilang
jhidayanto,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:13:47,positif,ceramah tetep dapet relax aja guys
lantar57,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:42:02,netral,gue liat ya udah ya
aprasasta,Instagram,ceramah apaan malah ngehina,2024-12-23 15:04:59,negatif,ceramah ngehina
rahayusalwa,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:47:26,negatif,sih udah lewat batas
cayadi20,Instagram,biasa aja sih,2024-12-23 15:21:34,netral,aja sih
nadine18,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:50:43,positif,bener sih kadang netizen baper
arta91,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:12:43,positif,ni gus emg aja laku
lutfansitumorang,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:05:19,positif,ceramah tetep dapet relax aja guys
bsamosir,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:46:49,negatif,sih udah lewat batas
atmajanuar,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:57:03,netral,netral aja sih gw liat
dabukkeikhsan,Instagram,ga tau mau bilang apa,2024-12-23 15:18:29,netral,ga tau bilang
jabalwinarsih,Instagram,ceramah apaan malah ngehina,2024-12-23 15:27:22,negatif,ceramah ngehina
nasrullah11,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:39:55,negatif,jual es teh jd insecure
hutapeaempluk,Instagram,hmm no comment deh,2024-12-23 15:04:28,netral,hmm no comment deh
sidiqprakasa,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:43:28,negatif,ga lucu nyakitin hati yg jual
julianarpati,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:15:01,positif,jujurly lucu banget sih
cahyantonarpati,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:07:27,positif,gw tuju sih ama omong gus
laksitamahmud,Instagram,hmm no comment deh,2024-12-23 15:16:17,netral,hmm no comment deh
siregarkiandra,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:41:47,negatif,ga sopan bgt ngomong gitu
anggrainiputu,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:26:22,netral,netral aja sih gw liat
sabri98,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:52:57,negatif,gus miftah maaf sih
yjailani,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:14:01,negatif,ga sopan bgt ngomong gitu
queenbudiyanto,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:37:22,negatif,ga lucu nyakitin hati yg jual
limarwinarno,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:06:45,positif,ni gus emg aja laku
ltarihoran,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:38:53,positif,biar keras niat
ratna96,Instagram,ga tau mau bilang apa,2024-12-23 15:45:16,netral,ga tau bilang
jailanikemba,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:51:29,negatif,ga sopan bgt ngomong gitu
candrakanta12,Instagram,ga tau mau bilang apa,2024-12-23 15:36:27,netral,ga tau bilang
rahayuanggabaya,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:00:13,positif,biar keras niat
nyomansaragih,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:04:38,negatif,gus miftah maaf sih
dhidayat,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:32:03,positif,ni gus emg aja laku
sihombinglanang,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:43:22,negatif,sih udah lewat batas
embuhnurdiyanti,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:18:59,positif,ceramah tetep dapet relax aja guys
darmanasirait,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:51:29,positif,biar keras niat
vutami,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:47:49,negatif,sih udah lewat batas
suwarnosilvia,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:56:10,positif,jujurly lucu banget sih
olivanatsir,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:14:22,negatif,ga lucu nyakitin hati yg jual
inasyiah,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:06:59,positif,ni gus emg aja laku
mustofariyanti,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:47:24,positif,jujurly lucu banget sih
bancar82,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:47:47,negatif,sih udah lewat batas
kmustofa,Instagram,hmm no comment deh,2024-12-23 15:44:20,netral,hmm no comment deh
enasyiah,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:00:02,positif,jujurly lucu banget sih
sihombingaisyah,Instagram,tergantung yg nonton juga sih,2024-12-23 15:30:21,netral,gantung yg nonton sih
marbunrestu,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:40:32,netral,gue liat ya udah ya
asaputra,Instagram,biasa aja sih,2024-12-23 15:38:03,netral,aja sih
maheswaradarmaji,Instagram,hmm no comment deh,2024-12-23 15:02:05,netral,hmm no comment deh
bwijayanti,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:53:45,positif,ni gus emg aja laku
tira37,Instagram,hmm no comment deh,2024-12-23 15:05:59,netral,hmm no comment deh
banawahutapea,Instagram,hmm no comment deh,2024-12-23 15:47:21,netral,hmm no comment deh
pradanaartanto,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:06:14,negatif,ga sopan bgt ngomong gitu
gambirawidodo,Instagram,biasa aja sih,2024-12-23 15:36:32,netral,aja sih
balanggahidayat,Instagram,tergantung yg nonton juga sih,2024-12-23 15:27:18,netral,gantung yg nonton sih
khalimah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:52:23,netral,gue liat ya udah ya
chelseasaefullah,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:20:25,positif,biar keras niat
yancewahyudin,Instagram,tergantung yg nonton juga sih,2024-12-23 15:28:53,netral,gantung yg nonton sih
aputra,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:05:24,positif,bener sih kadang netizen baper
mayasariheryanto,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:30:07,negatif,ga lucu nyakitin hati yg jual
kenzieyuliarti,Instagram,tergantung yg nonton juga sih,2024-12-23 15:58:02,netral,gantung yg nonton sih
hendri82,Instagram,hmm no comment deh,2024-12-23 15:06:20,netral,hmm no comment deh
harsanahandayani,Instagram,ga tau mau bilang apa,2024-12-23 15:57:16,netral,ga tau bilang
ywinarno,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:55:08,positif,biar keras niat
limar00,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:04:39,negatif,jual es teh jd insecure
mprasetya,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:55:39,positif,gw tuju sih ama omong gus
wzulkarnain,Instagram,biasa aja sih,2024-12-23 15:18:01,netral,aja sih
zmarbun,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:21:17,netral,gue liat ya udah ya
cahyono73,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:58:42,netral,gue liat ya udah ya
zaenabnuraini,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:54:40,positif,ceramah tetep dapet relax aja guys
gunartomulyono,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:11:03,netral,gue liat ya udah ya
kurniawanokta,Instagram,hmm no comment deh,2024-12-23 15:25:19,netral,hmm no comment deh
fzulkarnain,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:12:12,positif,jujurly lucu banget sih
veganurdiyanti,Instagram,ga tau mau bilang apa,2024-12-23 15:09:06,netral,ga tau bilang
sabrinanuraini,Instagram,tergantung yg nonton juga sih,2024-12-23 15:52:21,netral,gantung yg nonton sih
lhartati,Instagram,ga tau mau bilang apa,2024-12-23 15:46:22,netral,ga tau bilang
mustofadanang,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:34:21,negatif,jual es teh jd insecure
pranawa92,Instagram,ga tau mau bilang apa,2024-12-23 15:24:45,netral,ga tau bilang
hzulkarnain,Instagram,ceramah apaan malah ngehina,2024-12-23 15:06:01,negatif,ceramah ngehina
ekahariyah,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:39:00,positif,ni gus emg aja laku
bsitorus,Instagram,biasa aja sih,2024-12-23 15:36:43,netral,aja sih
yuliantielma,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:47:46,negatif,jual es teh jd insecure
safina33,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:23:42,positif,ceramah tetep dapet relax aja guys
vivi46,Instagram,biasa aja sih,2024-12-23 15:22:42,netral,aja sih
tina87,Instagram,hmm no comment deh,2024-12-23 15:54:54,netral,hmm no comment deh
novitasaridwi,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:48:06,netral,netral aja sih gw liat
lilimelani,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:27:20,positif,jujurly lucu banget sih
gunawanlatif,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:33:05,positif,jujurly lucu banget sih
akarsana63,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:35:31,positif,jujurly lucu banget sih
dimassafitri,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:33:25,positif,biar keras niat
enashiruddin,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:29:41,netral,netral aja sih gw liat
ellasitumorang,Instagram,tergantung yg nonton juga sih,2024-12-23 15:11:53,netral,gantung yg nonton sih
nurdiyantipadma,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:31:02,netral,netral aja sih gw liat
palastriemil,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:55:56,negatif,sih udah lewat batas
dpurwanti,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:57:27,positif,biar keras niat
hnababan,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:21:30,negatif,jual es teh jd insecure
futama,Instagram,ceramah apaan malah ngehina,2024-12-23 15:59:20,negatif,ceramah ngehina
mzulaika,Instagram,biasa aja sih,2024-12-23 15:37:44,netral,aja sih
garasinaga,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:57:07,netral,netral aja sih gw liat
jaisutama,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:40:52,netral,netral aja sih gw liat
puspa91,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:37:23,negatif,gus miftah maaf sih
novitasaricornelia,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:44:04,positif,ceramah tetep dapet relax aja guys
ttamba,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:18:19,positif,ceramah tetep dapet relax aja guys
saefullahgadang,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:02:59,positif,gw tuju sih ama omong gus
reksawibowo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:23:31,positif,biar keras niat
hassanahhendri,Instagram,hmm no comment deh,2024-12-23 15:17:11,netral,hmm no comment deh
tpermata,Instagram,tergantung yg nonton juga sih,2024-12-23 15:22:13,netral,gantung yg nonton sih
laksmiwaticemeti,Instagram,hmm no comment deh,2024-12-23 15:37:50,netral,hmm no comment deh
manullangmalika,Instagram,ga tau mau bilang apa,2024-12-23 15:38:04,netral,ga tau bilang
wnababan,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:48:03,positif,ni gus emg aja laku
pjanuar,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:09:04,negatif,sih udah lewat batas
cusamah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:53:08,negatif,gus miftah maaf sih
rsuwarno,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:12:27,negatif,ga sopan bgt ngomong gitu
cagaklailasari,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:09:01,positif,ni gus emg aja laku
wirapadmasari,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:16:20,negatif,ga sopan bgt ngomong gitu
rahayu51,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:02:55,positif,biar keras niat
puspasariclara,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:17:34,positif,ni gus emg aja laku
