user,platform,komentar,timestamp,sentimen
sitorusjaeman,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:05:20,positif
rajasaedward,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:04:00,positif
agussirait,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:40:50,netral
eman93,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:20:43,positif
giswahyudi,Instagram,ceramah apaan malah ngehina,2024-12-23 15:37:06,negatif
sihombingmakara,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:15:07,negatif
umaykuswandari,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:40:10,positif
puyainah,Instagram,ceramah apaan malah ngehina,2024-12-23 15:12:16,negatif
ibunanggriawan,Instagram,biasa aja sih,2024-12-23 15:25:35,netral
onuraini,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:30:20,positif
upermadi,Instagram,ga tau mau bilang apa,2024-12-23 15:42:57,netral
febisuryatmi,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:42:25,netral
wibisonofebi,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:24:07,negatif
gawatisitompul,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:42:04,positif
ukurniawan,Instagram,ceramah apaan malah ngehina,2024-12-23 15:02:38,negatif
dacinsitumorang,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:57:38,positif
pangesturatna,Instagram,hmm no comment deh,2024-12-23 15:06:21,netral
manahwastuti,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:46:44,negatif
thidayat,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:48:57,positif
mandalaadiarja,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:01:36,negatif
bakimanmardhiyah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:49:44,negatif
lprasetya,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:31:11,negatif
afirmansyah,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:08:46,positif
gangsa06,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:23:41,netral
ibranipalastri,Instagram,ceramah apaan malah ngehina,2024-12-23 15:19:20,negatif
opan08,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:40:29,positif
nyomantarihoran,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:36:46,positif
wusada,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:45:28,positif
nasyiahbancar,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:37:08,positif
ajimin77,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:45:50,positif
agustinalaksana,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:20:51,positif
arsipatrahidayanto,Instagram,ceramah apaan malah ngehina,2024-12-23 15:07:35,negatif
cawuk78,Instagram,tergantung yg nonton juga sih,2024-12-23 15:22:00,netral
jaswadihassanah,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:18:37,positif
lasmono23,Instagram,biasa aja sih,2024-12-23 15:32:21,netral
nurainiemil,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:00:27,negatif
jthamrin,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:20:36,netral
veromarpaung,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:03:45,positif
paramitaprasasta,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:36:21,positif
suartinidarsirah,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:31:05,positif
lamarprastuti,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:26:00,negatif
dalima80,Instagram,biasa aja sih,2024-12-23 15:15:49,netral
andrianibakianto,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:41:16,positif
tomisusanti,Instagram,ga tau mau bilang apa,2024-12-23 15:47:30,netral
vjailani,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:05:55,negatif
farhunnisa50,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:53:30,positif
sriyanti,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:50:30,positif
kenarihardiansyah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:24:39,netral
firgantorogada,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:05:34,negatif
safitriharjo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:32:35,positif
nasyiahyulia,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:34:24,negatif
qirawan,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:50:30,positif
firgantorotari,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:59:21,positif
sihombingprayoga,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:07:00,positif
prayitna58,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:57:04,positif
cindy91,Instagram,hmm no comment deh,2024-12-23 15:17:39,netral
pradanauchita,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:01:24,positif
mulyaniharimurti,Instagram,hmm no comment deh,2024-12-23 15:15:58,netral
kairavusada,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:13:53,negatif
ade57,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:56:51,positif
najwasihombing,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:40:22,negatif
latikahasanah,Instagram,hmm no comment deh,2024-12-23 15:50:30,netral
ellis07,Instagram,ceramah apaan malah ngehina,2024-12-23 15:21:22,negatif
narpatiajeng,Instagram,biasa aja sih,2024-12-23 15:21:12,netral
cahyanto35,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:29:38,positif
nashiruddindarmanto,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:48:12,negatif
nhabibi,Instagram,tergantung yg nonton juga sih,2024-12-23 15:33:06,netral
prayogajessica,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:44:52,negatif
wulandaritina,Instagram,tergantung yg nonton juga sih,2024-12-23 15:17:15,netral
ytampubolon,Instagram,ga tau mau bilang apa,2024-12-23 15:20:19,netral
calista47,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:01:12,negatif
rini58,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:46:55,netral
astutihalima,Instagram,ceramah apaan malah ngehina,2024-12-23 15:39:07,negatif
npradipta,Instagram,ga tau mau bilang apa,2024-12-23 15:35:10,netral
ikinastuti,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:09:57,positif
zhabibi,Instagram,biasa aja sih,2024-12-23 15:03:24,netral
putiwaskita,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:56:42,negatif
vinsen41,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:14:27,netral
daruwastuti,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:51,positif
sprasetyo,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:25:48,negatif
saadatsitompul,Instagram,ga tau mau bilang apa,2024-12-23 15:03:21,netral
bwinarno,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:52:01,negatif
salsabilasiregar,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:33:53,negatif
ella33,Instagram,hmm no comment deh,2024-12-23 15:39:23,netral
irahimah,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:29:01,negatif
prasetyaprabowo,Instagram,ga tau mau bilang apa,2024-12-23 15:39:47,netral
kayun75,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:54:34,negatif
hgunarto,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:48:13,positif
hasanahmaras,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:12:23,negatif
mursinin56,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:34:15,positif
rajatarama,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:29:37,negatif
luisnasyidah,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:40:01,negatif
winarsihomar,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:50:34,positif
ganda04,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:57:24,positif
indah01,Instagram,ga tau mau bilang apa,2024-12-23 15:14:54,netral
faizahardianto,Instagram,ceramah apaan malah ngehina,2024-12-23 15:13:28,negatif
puspitaqori,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:20:35,netral
jayeng28,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:29:16,negatif
prayogakarta,Instagram,ga tau mau bilang apa,2024-12-23 15:09:03,netral
lantar66,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:05:11,negatif
yani54,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:15:15,positif
darmanariyanti,Instagram,ceramah apaan malah ngehina,2024-12-23 15:15:12,negatif
adriansyahlanggeng,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:50:13,netral
ghaliyati01,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:34:35,positif
candrakantakuswoyo,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:54:35,positif
tfirmansyah,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:19:16,netral
keisha93,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:13:30,netral
patricia65,Instagram,tergantung yg nonton juga sih,2024-12-23 15:57:47,netral
sihombingjaga,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:12:54,negatif
xjailani,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:05:11,positif
gadingtamba,Instagram,biasa aja sih,2024-12-23 15:12:44,netral
andrianimursita,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:09:31,positif
mulyanidaniswara,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:16:57,negatif
sinagavivi,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:48:42,positif
olatupono,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:53:36,negatif
cawukusamah,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:54:26,positif
rinidamanik,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:53:45,positif
ukusmawati,Instagram,ceramah apaan malah ngehina,2024-12-23 15:42:26,negatif
ega55,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:10:59,positif
tugimaniswahyudi,Instagram,biasa aja sih,2024-12-23 15:51:08,netral
gaduhsaputra,Instagram,tergantung yg nonton juga sih,2024-12-23 15:34:28,netral
xlaksmiwati,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:09:26,positif
tri42,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:29:50,positif
ilyas96,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:51:24,positif
aryanisurya,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:03:01,negatif
samosirdamar,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:54:05,positif
mardhiyahvero,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:44:40,positif
langgeng08,Instagram,hmm no comment deh,2024-12-23 15:25:09,netral
skuswoyo,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:24:45,positif
dodo10,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:58:19,negatif
palastrinurul,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:11:24,negatif
hdabukke,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:25:17,positif
plaksita,Instagram,biasa aja sih,2024-12-23 15:10:34,netral
niyagakuswandari,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:03:06,positif
labuh11,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:45:26,positif
habibibakiman,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:33:26,netral
rharyanti,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:23:54,netral
bakda89,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:03:01,positif
belindawinarsih,Instagram,hmm no comment deh,2024-12-23 15:29:20,netral
xmarbun,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:25:51,positif
cecep49,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:26:43,positif
limarmandasari,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:29:16,positif
pwaskita,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:42:25,positif
setya83,Instagram,ceramah apaan malah ngehina,2024-12-23 15:41:50,negatif
ssihombing,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:34:36,netral
fsirait,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:19:55,positif
paiman07,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:46:52,negatif
ediwulandari,Instagram,ga tau mau bilang apa,2024-12-23 15:49:44,netral
khariyah,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:27:54,netral
situmorangcornelia,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:33:25,negatif
omarwibisono,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:56:43,positif
darijan69,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:41:03,negatif
bgunawan,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:53:32,negatif
mardhiyahjaga,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:55:53,netral
gandihassanah,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:18:40,negatif
ida06,Instagram,hmm no comment deh,2024-12-23 15:36:06,netral
mulyanidwi,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:15:38,negatif
nhalimah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:16:50,negatif
warsitasihombing,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:41:03,negatif
andrianitirta,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:25:47,positif
rizki25,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:23:57,negatif
harsanapranowo,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:44:10,negatif
saefullahliman,Instagram,ceramah apaan malah ngehina,2024-12-23 15:40:44,negatif
jaga99,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:04:14,netral
mitrasiregar,Instagram,biasa aja sih,2024-12-23 15:51:12,netral
zsitumorang,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:20:07,negatif
janesusanti,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:29:54,netral
ibrahim58,Instagram,hmm no comment deh,2024-12-23 15:33:52,netral
dodopalastri,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:09:08,positif
hendra56,Instagram,ceramah apaan malah ngehina,2024-12-23 15:21:37,negatif
ayuniar,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:08:20,positif
latika82,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:57:57,positif
mmarpaung,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:01:08,netral
rafid35,Instagram,hmm no comment deh,2024-12-23 15:41:05,netral
ciaobellanapitupulu,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:11:27,positif
purwantonapitupulu,Instagram,hmm no comment deh,2024-12-23 15:47:20,netral
nurainidadi,Instagram,ceramah apaan malah ngehina,2024-12-23 15:25:48,negatif
vrahmawati,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:35:50,negatif
bpermata,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:26:30,netral
jsuryono,Instagram,hmm no comment deh,2024-12-23 15:16:54,netral
laksmiwatiarta,Instagram,tergantung yg nonton juga sih,2024-12-23 15:56:44,netral
juliakuswoyo,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:44:01,netral
pradanasarah,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:16:34,negatif
cutami,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:40:59,negatif
habibijaya,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:50:28,netral
nurdiyantihumaira,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:19:54,negatif
hastutioliva,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:52:53,netral
galuh07,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:51:56,positif
lwahyudin,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:06:58,positif
kutami,Instagram,ceramah apaan malah ngehina,2024-12-23 15:57:38,negatif
pratamadamu,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:30:18,positif
lutama,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:53:47,negatif
maida85,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:02:24,positif
gunartotina,Instagram,ga tau mau bilang apa,2024-12-23 15:26:29,netral
ami51,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:41:13,positif
kawacaandriani,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:48:02,positif
anggrainiluthfi,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:36:59,positif
marwatawibowo,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:49:47,netral
ira40,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:45:45,negatif
endra18,Instagram,biasa aja sih,2024-12-23 15:46:45,netral
hildahardiansyah,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:08:28,negatif
simonnashiruddin,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:51:11,netral
azalea55,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:52:48,positif
jagaragasitompul,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:13:40,netral
wasitazalindra,Instagram,tergantung yg nonton juga sih,2024-12-23 15:41:45,netral
jaiman06,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:29:04,negatif
anggriawanmahdi,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:46:52,negatif
astutivivi,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:12:31,positif
elma54,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:48:18,netral
balamantriprasasta,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:01:05,positif
daryanilaksita,Instagram,ga tau mau bilang apa,2024-12-23 15:44:58,netral
vera58,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:35:00,negatif
puti46,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:27:55,positif
ewaskita,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:06:07,negatif
ianrajasa,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:11:01,positif
satya93,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:10:10,negatif
cakrawala00,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:18:37,netral
gaduhsafitri,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:06:43,negatif
tugimanrahayu,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:58:55,positif
zelayatampubolon,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:22:40,negatif
mulyonosuryatmi,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:01:55,positif
legasuryono,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:20:49,positif
dirjasafitri,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:26:45,negatif
wasitajaiman,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:26:25,positif
prasastagalih,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:07:18,negatif
ida50,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:18:16,positif
clara13,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:55:16,negatif
xuwais,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:32:56,positif
jatiwinarsih,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:00:05,positif
santososamiah,Instagram,hmm no comment deh,2024-12-23 15:56:42,netral
galur14,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:33:02,netral
tdamanik,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:53:52,negatif
nwasita,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:50:59,positif
prabuwastuti,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:27:54,positif
uyainahcapa,Instagram,ga tau mau bilang apa,2024-12-23 15:02:05,netral
hassanahsabrina,Instagram,hmm no comment deh,2024-12-23 15:23:53,netral
ivan12,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:16:07,netral
limanlailasari,Instagram,tergantung yg nonton juga sih,2024-12-23 15:28:35,netral
rwastuti,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:31:36,negatif
queenyuliarti,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:06:47,positif
jayadiusada,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:15:50,negatif
hsihombing,Instagram,ceramah apaan malah ngehina,2024-12-23 15:09:39,negatif
hhandayani,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:32:48,negatif
jaeman19,Instagram,hmm no comment deh,2024-12-23 15:50:17,netral
qanggriawan,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:45:18,negatif
kyolanda,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:00:35,positif
setiawanrizki,Instagram,biasa aja sih,2024-12-23 15:16:17,netral
voktaviani,Instagram,ceramah apaan malah ngehina,2024-12-23 15:34:04,negatif
vinsenputra,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:45:42,positif
fitrianisimanjuntak,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:51:26,positif
rastuti,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:00:15,negatif
wulanprasasta,Instagram,hmm no comment deh,2024-12-23 15:30:00,netral
fmahendra,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:21:30,positif
ayu81,Instagram,biasa aja sih,2024-12-23 15:40:44,netral
pmanullang,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:44:23,netral
safina05,Instagram,hmm no comment deh,2024-12-23 15:48:41,netral
prahmawati,Instagram,hmm no comment deh,2024-12-23 15:19:29,netral
gangsasinaga,Instagram,tergantung yg nonton juga sih,2024-12-23 15:18:31,netral
yaryani,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:48:43,positif
situmorangwarji,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:09:20,negatif
okuswoyo,Instagram,tergantung yg nonton juga sih,2024-12-23 15:48:37,netral
irnanto12,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:32:45,negatif
mahmudusada,Instagram,tergantung yg nonton juga sih,2024-12-23 15:40:30,netral
wahyudinkariman,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:01:54,negatif
suwarnoatma,Instagram,tergantung yg nonton juga sih,2024-12-23 15:14:18,netral
oktavianixanana,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:19:19,negatif
rachelwastuti,Instagram,ga tau mau bilang apa,2024-12-23 15:10:01,netral
atmaastuti,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:00:05,positif
rahmawatisyahrini,Instagram,ga tau mau bilang apa,2024-12-23 15:52:14,netral
kusmawatiendah,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:31:11,negatif
salsabila94,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:02:43,negatif
salahudinnardi,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:23:05,negatif
budimanjatmiko,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:01:45,negatif
tnugroho,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:21:47,negatif
ega05,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:46:51,positif
asinaga,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:11:24,negatif
fzulaika,Instagram,ga tau mau bilang apa,2024-12-23 15:03:19,netral
wahyunireksa,Instagram,hmm no comment deh,2024-12-23 15:09:30,netral
caryani,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:46:22,negatif
paramitasuwarno,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:31:48,positif
rahimahjaiman,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:52:03,negatif
rikajailani,Instagram,biasa aja sih,2024-12-23 15:38:28,netral
pratiwibalamantri,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:26:35,positif
twulandari,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:38:05,negatif
pmardhiyah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:57:18,netral
cemeti79,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:57:06,positif
pudjiastutiasmuni,Instagram,hmm no comment deh,2024-12-23 15:27:57,netral
efarida,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:58:28,negatif
marbundasa,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:46:03,positif
mulyaniharja,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:49:03,positif
jarwa71,Instagram,tergantung yg nonton juga sih,2024-12-23 15:10:26,netral
tnurdiyanti,Instagram,tergantung yg nonton juga sih,2024-12-23 15:20:01,netral
iswahyudinardi,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:42:14,positif
dodo64,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:44:14,positif
esihotang,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:56:27,positif
elvin88,Instagram,ga tau mau bilang apa,2024-12-23 15:07:23,netral
ibrahim65,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:03:34,negatif
mansurasman,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:07:21,positif
qnugroho,Instagram,biasa aja sih,2024-12-23 15:47:22,netral
lailasaribella,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:02:15,positif
prabuiswahyudi,Instagram,tergantung yg nonton juga sih,2024-12-23 15:30:12,netral
atmajanajmudin,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:19:17,positif
gandaadriansyah,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:49:41,positif
novitasarijaga,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:58:00,negatif
sihotangolivia,Instagram,biasa aja sih,2024-12-23 15:08:58,netral
lailasarikardi,Instagram,hmm no comment deh,2024-12-23 15:08:02,netral
sihotangcaraka,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:43:52,negatif
wasitaestiono,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:19:55,positif
lastuti,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:38:51,negatif
harjasasitompul,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:24:45,positif
natsirirma,Instagram,ga tau mau bilang apa,2024-12-23 15:08:03,netral
wani59,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:30:48,positif
puspasaridodo,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:57:39,negatif
